"Device Name","Device Label","Device ID","controllerType","deviceNetworkId","lastActivityAt","roomName","typeName","application","aqaraModel","baseUrl","deviceId","deviceIP","devicePort","devIp","driverVersion","feature","firmwareMT","gradOnOff","hasLed","inClusters","isEm","lastRunningMode","ledVer","manufacturer","model","outClusters","powerCluster","protocol","softwareBuild","tpLinkType","tuyaVersion","type","version"
"Stairwell Upper Tuya Motion./Lux Sensor","Stairwell Upper Tuya Motion./Lux Sensor","578","ZGB","CBFC","2026-07-18 23:49:41+0000","Stairwell","Tuya Multi Sensor 4 In 1 (V3)","91","","","","","","","","","","","","","","","","_TZE200_3towulqd","TS0601","","","","","","2.1.1","",""
"Tile - Echo Speaks","Tile - Echo Speaks","139","","db8a4540-71fd-4859-879b-07c7f80f3006","2026-06-30 14:22:20+0000","Virtual","ES Tile Custom","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tile Builder Storage Device 1","Tile Builder Storage Device 1","221","","Tile_Builder_Storage_Device_1","2026-07-18 23:52:36+0000","Virtual","Tile Builder Storage Driver","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tile Builder Storage Device 2","Tile Builder Storage Device 2","246","","Tile_Builder_Storage_Device_2","2026-07-18 23:36:58+0000","Virtual","Tile Builder Storage Driver","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tile Builder Storage Device 3","Tile Builder Storage Device 3","249","","Tile_Builder_Storage_Device_3","2026-07-18 23:52:06+0000","Virtual","Tile Builder Storage Driver","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Virtual Date & Time Parser","Virtual Date & Time Parser","21","","8b8213f0-87ba-450c-ab77-04067f2e32d5","2026-07-18 23:45:02+0000","Virtual","Date & Time Parser","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Virtual Doorbell Pushed Switch","Virtual Doorbell Pushed Switch","144","","839aad48-30ae-4364-8c41-44d290c9caee","2026-07-14 22:08:12+0000","Virtual","Virtual Switch","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Virtual GDO Controller Switch","Virtual GDO Controller Switch","444","","eb973cd0-43f5-4094-baff-602d8b98a9d2","2026-05-22 18:05:59+0000","Virtual","Virtual Switch","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Virtual Twilight Parser New","Virtual Twilight Parser New","312","","360e6e5a-a25f-489e-ae32-3e6fd04e30a5","2026-07-18 23:47:54+0000","Virtual","Twilight Parser Driver","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VThermostat for Office","VThermostat for Office","286","","avt54371","2026-07-18 23:34:00+0000","Virtual","Advanced vThermostat Device Custom","","","","","","","","","","","","","","","heat","","","","","","","","","","",""
"Washroom Fan Switch","Washroom Fan Switch","563","","D844892DD141","2026-07-17 20:29:17+0000","Washroom","Kasa Plug Switch","","","","800695840E20DF08B9A852DD9E18A4DE22C8AC79","192.168.1.45","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Washroom Overhead Light Switch","Washroom Overhead Light Switch","562","","D844892DF0F3","2026-07-18 11:05:26+0000","Washroom","Kasa Plug Switch","","","","800668989BF3E9C987568846DEEE2A0622C84835","192.168.1.46","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Washroom Third Reality Outlet","Washroom Third Reality Outlet","400","ZGB","4A3B","2026-07-18 11:05:24+0000","Washroom","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Washroom Tuya Motion/Lux Sensor","Washroom Tuya Motion/Lux Sensor","579","ZGB","83FB","2026-07-18 23:34:22+0000","Washroom","Tuya Multi Sensor 4 In 1 (V3)","91","","","","","","","","","","","","","","","","_TZE200_3towulqd","TS0601","","","","","","2.1.1","",""
"Washroom Vanity Dimming Switch","Washroom Vanity Dimming Switch","582","","3068932CF434","2026-07-18 11:05:25+0000","Washroom","TpLink Dimmer","","","http://192.168.1.39:80/app","","","","192.168.1.39","","","","true","true","","false","","3","","","","","KLAP","","SMART.KASASWITCH","","Dimmer","2.4.2a"
